"plasticity";"replications";"enviroment_type";"speciation";"extinction";"diversif";"traitevolution";"timesimulation";"abundance";"occupancy";"alive_spec"
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
0;0;"0";0;0;0;0;0;0;0;0
