"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0,2;1;5,241;0,468;4,773;0,00229037269832004;821
0;0;0;0;0;0;0
0,3;1;0,001;0;0,001;0,0022823031146114;999
0;0;0;0;0;0;0
0,3;1;0,001;0;0,001;0,00228230287273475;997
0;0;0;0;0;0;0
0,3;1;0,001;0;0,001;0,0022823025737031;995
0;0;0;0;0;0;0
0,3;1;0,011;0;0,011;0,00228228954269275;993
0;0;0;0;0;0;0
0,3;1;0,011;0;0,011;0,0022822724081134;991
0;0;0;0;0;0;0
0,3;1;0,011;0;0,011;0,00228226222964189;989
0;0;0;0;0;0;0
0,3;1;0,012;0;0,012;0,00228223688731407;987
0;0;0;0;0;0;0
0,3;1;0,012;0;0,012;0,00228219348906718;985
0;0;0;0;0;0;0
0,3;1;0,013;0;0,013;0,00228215450888523;983
0;0;0;0;0;0;0
0,3;1;0,015;0;0,015;0,00228204438085145;981
0;0;0;0;0;0;0
0,3;1;0,017;0;0,017;0,00228196511134111;979
0;0;0;0;0;0;0
0,3;1;0,018;0;0,018;0,00228187922435012;977
0;0;0;0;0;0;0
0,3;1;0,018;0;0,018;0,00228179539411232;975
0;0;0;0;0;0;0
0,3;1;0,018;0;0,018;0,00228171470980837;973
0;0;0;0;0;0;0
0,3;1;0,018;0;0,018;0,00228164216079402;971
0;0;0;0;0;0;0
0,3;1;0,018;0;0,018;0,00228156666967359;969
0;0;0;0;0;0;0
0,3;1;0,019;0,002;0,017;0,00228154093498572;967
0;0;0;0;0;0;0
0,3;1;0,022;0,002;0,02;0,00228152199932147;965
0;0;0;0;0;0;0
0,3;1;0,024;0,002;0,022;0,0022814536745207;963
0;0;0;0;0;0;0
0,3;1;0,039;0,002;0,037;0,00228140577377819;961
0;0;0;0;0;0;0
0,3;1;0,04;0,002;0,038;0,00228135818579052;959
0;0;0;0;0;0;0
0,3;1;0,042;0,002;0,04;0,00228131026454176;957
0;0;0;0;0;0;0
0,3;1;0,044;0,002;0,042;0,00228125766045441;955
0;0;0;0;0;0;0
0,3;1;0,047;0,002;0,045;0,00228121885989707;953
0;0;0;0;0;0;0
0,3;1;0,049;0,002;0,047;0,00228117810853281;951
0;0;0;0;0;0;0
0,3;1;0,052;0,005;0,047;0,0022811452857723;949
0;0;0;0;0;0;0
0,3;1;0,057;0,005;0,052;0,00228112936960216;947
0;0;0;0;0;0;0
0,3;1;0,063;0,008;0,055;0,00228112724710779;945
0;0;0;0;0;0;0
0,3;1;0,065;0,008;0,057;0,00228111544245801;943
0;0;0;0;0;0;0
0,3;1;0,071;0,008;0,063;0,00228106925106449;941
0;0;0;0;0;0;0
0,3;1;0,071;0,008;0,063;0,00228102299974536;939
0;0;0;0;0;0;0
0,3;1;0,071;0,008;0,063;0,00228097719100546;937
0;0;0;0;0;0;0
0,3;1;0,072;0,008;0,064;0,00228092876853326;935
0;0;0;0;0;0;0
0,3;1;0,073;0,008;0,065;0,00228087657991887;933
0;0;0;0;0;0;0
0,3;1;0,086;0,009;0,077;0,0022808094893223;931
0;0;0;0;0;0;0
0,3;1;0,097;0,009;0,088;0,0022807342225095;929
0;0;0;0;0;0;0
0,3;1;0,102;0,009;0,093;0,00228069049427702;927
0;0;0;0;0;0;0
0,3;1;0,105;0,009;0,096;0,00228066089190972;925
0;0;0;0;0;0;0
0,3;1;0,112;0,009;0,103;0,00228062447946314;923
0;0;0;0;0;0;0
0,3;1;0,117;0,01;0,107;0,00228060086217928;921
0;0;0;0;0;0;0
0,3;1;0,12;0,011;0,109;0,00228057575189374;919
0;0;0;0;0;0;0
0,3;1;0,124;0,019;0,105;0,00228056976715173;917
0;0;0;0;0;0;0
0,3;1;0,134;0,022;0,112;0,00228057148894017;915
0;0;0;0;0;0;0
0,3;1;0,136;0,025;0,111;0,00228056331333288;913
0;0;0;0;0;0;0
0,3;1;0,203;0,026;0,177;0,0022805405259067;911
0;0;0;0;0;0;0
0,3;1;0,215;0,029;0,186;0,00228051376009919;909
0;0;0;0;0;0;0
0,3;1;0,25;0,029;0,221;0,00228050216797953;907
0;0;0;0;0;0;0
0,3;1;0,256;0,029;0,227;0,00228049439551355;905
0;0;0;0;0;0;0
0,3;1;0,259;0,03;0,229;0,00228048954035904;903
0;0;0;0;0;0;0
0,3;1;0,264;0,03;0,234;0,00228048695602776;901
0;0;0;0;0;0;0
0,3;1;0,274;0,032;0,242;0,00228047311192346;899
0;0;0;0;0;0;0
0,3;1;0,307;0,032;0,275;0,00228045362791224;897
0;0;0;0;0;0;0
0,3;1;0,327;0,032;0,295;0,00228045121350164;895
0;0;0;0;0;0;0
0,3;1;0,34;0,037;0,303;0,00228045182669181;893
0;0;0;0;0;0;0
0,3;1;0,368;0,038;0,33;0,00228044446833874;891
0;0;0;0;0;0;0
0,3;1;0,37;0,04;0,33;0,00228042928873381;889
0;0;0;0;0;0;0
0,3;1;0,372;0,04;0,332;0,00228041550454668;887
0;0;0;0;0;0;0
0,3;1;0,373;0,04;0,333;0,0022804007157089;885
0;0;0;0;0;0;0
0,3;1;0,377;0,04;0,337;0,00228038258358911;883
0;0;0;0;0;0;0
0,3;1;0,388;0,04;0,348;0,00228036406128558;881
0;0;0;0;0;0;0
0,3;1;0,441;0,04;0,401;0,00228032676304983;879
0;0;0;0;0;0;0
0,3;1;0,446;0,042;0,404;0,00228029236969243;877
0;0;0;0;0;0;0
0,3;1;0,461;0,045;0,416;0,00228025429983143;875
0;0;0;0;0;0;0
0,3;1;0,469;0,049;0,42;0,0022802125070984;873
0;0;0;0;0;0;0
0,3;1;0,474;0,057;0,417;0,00228017579380511;871
0;0;0;0;0;0;0
0,3;1;0,492;0,063;0,429;0,00228014568162424;869
0;0;0;0;0;0;0
0,3;1;0,499;0,066;0,433;0,00228010832634383;867
0;0;0;0;0;0;0
0,3;1;0,509;0,118;0,391;0,00228007378086303;865
0;0;0;0;0;0;0
0,3;1;0,518;0,134;0,384;0,00228003866786718;863
0;0;0;0;0;0;0
0,3;1;0,557;0,144;0,413;0,0022799936867421;861
0;0;0;0;0;0;0
0,3;1;0,621;0,15;0,471;0,00227993410828573;859
0;0;0;0;0;0;0
0,3;1;0,717;0,165;0,552;0,00227989227974739;857
0;0;0;0;0;0;0
0,3;1;0,762;0,171;0,591;0,00227986296546619;855
0;0;0;0;0;0;0
0,3;1;0,786;0,171;0,615;0,0022798356550651;853
0;0;0;0;0;0;0
0,3;1;0,798;0,172;0,626;0,00227981120042091;851
0;0;0;0;0;0;0
0,3;1;0,837;0,175;0,662;0,00227978789085224;849
0;0;0;0;0;0;0
0,3;1;0,908;0,179;0,729;0,00227976981085664;847
0;0;0;0;0;0;0
0,3;1;0,981;0,184;0,797;0,00227975585057349;845
0;0;0;0;0;0;0
0,3;1;1,049;0,194;0,855;0,00227974315218485;843
0;0;0;0;0;0;0
0,3;1;1,095;0,203;0,892;0,0022797340054833;841
0;0;0;0;0;0;0
0,3;1;1,146;0,212;0,934;0,00227971962632412;839
0;0;0;0;0;0;0
0,3;1;1,168;0,212;0,956;0,00227970725475526;837
0;0;0;0;0;0;0
0,3;1;1,197;0,212;0,985;0,00227969595429024;835
0;0;0;0;0;0;0
0,3;1;1,228;0,213;1,015;0,00227968562027862;833
0;0;0;0;0;0;0
0,3;1;1,257;0,215;1,042;0,00227967705845022;831
0;0;0;0;0;0;0
