"plasticity";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0,05;3;0,0282220131702728;0,00501724678582628;0,0232047663844465;0,000360325197839727;132
0,05;3;0,0358565737051793;0,00122586576769844;0,0346307079374808;0,000331220160758501;133
0,05;3;0,0574644549763033;0,00148104265402844;0,0559834123222749;0,000369154276362151;134
0,05;3;0,106311360448808;0,0215988779803647;0,0847124824684432;0,000411799119652966;135
0,05;3;0,0431859322472201;0,000775795190069822;0,0424101370571502;0,000346143587105787;136
0,05;3;0,0488712478293227;0,000744232200446539;0,0481270156288762;0,000360119204070562;137
0,05;3;0,0324260355029586;0,0021301775147929;0,0302958579881657;0,000331168623451756;138
0,05;3;0,0457155984378589;0,000229726625315874;0,0454858718125431;0,00032022224335283;139
0,05;3;0,0696550208745331;0,002417051197539;0,0672379696769941;0,000371529932076904;140
0,05;3;0,072472719785876;0,0082355363393041;0,0642371834465719;0,00039113773395528;141
0,05;3;0,105049332559489;0,00619075256335848;0,0988585799961308;0,000427273270033201;142
0,05;3;0,0723591549295775;0,000704225352112676;0,0716549295774648;0,000383204912996906;143
0,05;3;0,0514210612781337;0,00246426811237063;0,0489567931657631;0,00039102131083955;144
0,05;3;0,0502740798747063;0,00062646828504307;0,0496476115896633;0,000373457237031756;145
0,05;3;0,0740077588779469;0,00193971948672038;0,0720680393912265;0,0003787085786313;146
0,05;3;0,087821851078636;0,000835073068893528;0,0869867780097425;0,000400222298469978;147
0,05;3;0,0700384122919334;0,000512163892445583;0,0695262483994878;0,000378350420983358;148
0,05;3;0,096851430623728;0,000359152400335209;0,0964922782233928;0,000437599311711368;149
0,05;3;0,15525712414019;0,00993558248717109;0,145321541653019;0,000502315551324753;150
0,05;3;0,0898951382268827;0,00877025738798856;0,0811248808388942;0,000541420824912029;151
0,05;3;0,0357111365840755;0,00193986420950533;0,0337712723745701;0,000437920720374404;152
0,05;3;0,0461446605254179;0,00238826339133402;0,0437563971340839;0,000457884173372119;153
0,05;3;0,0387349840647217;0,00269673939691101;0,0360382446678107;0,00040195508801404;154
0,05;3;0,0489036125571857;0,000946521533364884;0,0479570910238208;0,000405740501719041;155
0,05;3;0,0486226102664459;0,00165587836820714;0,0469667318982387;0,000393068765632339;156
0,05;3;0,0416966211358735;0,000359453630481668;0,0413371675053918;0,000371760308360232;157
0,05;3;0,0281670693821194;0,000276147739040387;0,027890921643079;0,000329587399654382;158
0,05;3;0,0445966821143126;0,000201491033649003;0,0443951910806636;0,000350213703031567;159
0,05;3;0,0641157556270096;0,000192926045016077;0,0639228295819936;0,000364529926802056;160
0,05;3;0,0589941972920696;0,000967117988394584;0,058027079303675;0,000344367249082749;161
0,05;3;0,0382769652650823;0,000171389396709324;0,0381055758683729;0,000301277385930811;162
0,05;3;0,038798084860492;0,000165098233448902;0,0386329866270431;0,000302704551287184;163
0,05;3;0,0489588300747099;0,000900757696179728;0,0480580723785302;0,00033574352857336;164
0,05;3;0,0848331648129424;0,00141557128412538;0,083417593528817;0,000353141997031146;165
0,05;3;0,116192253849743;0,00200653289780681;0,114185720951937;0,000419148420073533;166
0,05;3;0,118649746618084;0,00515140092976505;0,113498345688319;0,00044626284252347;167
0,05;3;0,082860044382593;0,00346033775905518;0,0793997066235378;0,000411098852896444;168
0,05;3;0,179211094849815;0,0116732873370967;0,167537807512719;0,000575185531338205;169
0,05;3;0,123589804811079;0,0166238882588193;0,106965916552259;0,000579806848103893;170
0,05;3;0,076220005392289;0,0115934214073874;0,0646265839849016;0,000503339289427628;171
0,05;3;0,0601970268696027;0,0145364297110441;0,0456605971585585;0,000506671775737997;172
0,05;3;0,0953257447323807;0,0297408573504481;0,0655848873819327;0,000576868535135263;173
0,05;3;0,082412836947134;0,0112505113868812;0,0711623255602527;0,000541727066326389;174
0,05;3;0,051815230537461;0,00502875087525727;0,0467864796622037;0,000469351027753328;175
0,1;3;0;0;0;0;1
0,1;3;0;0;0;0,00161325048322123;2
0,1;3;0;0;0;0,0037952327157159;3
0,1;3;0;0;0;0,00477751918652054;4
0,1;3;0;0;0;0,000490828919675788;5
0,1;3;0;0;0;0,00501923819363119;6
0,1;3;0;0;0;0,000286328777809252;7
0,1;3;0;0;0;0,000164893281782812;8
0,1;3;0;0;0;0,000187684749878295;9
0,1;3;0;0;0;0,000990985749402132;10
0,1;3;2;0;2;0,0412614830495837;11
0,1;3;0;0;0;0,000931662565473558;12
0,1;3;0;0;0;0,000384880766129419;13
0,1;3;0;0;0;0,000251339603705074;14
0,1;3;0;0;0;0,000589312172221616;15
0,1;3;0;0;0;0,000140438136039519;16
0,1;3;0;0;0;0,000471276962798929;17
0,1;3;0;0;0;6,89021863610133e-05;18
0,1;3;0;0;0;0,000195627867428314;19
0,1;3;0;0;0;0,000157379585975493;20
0,1;3;0;0;0;0,000441790361631561;21
0,1;3;0;0;0;0,000516795162573157;22
0,1;3;0;0;0;0,000189268623295327;23
0,1;3;0;0;0;0,000192198232081568;24
0,1;3;0;0;0;7,07343404203901e-05;25
0,1;3;0,333333333333333;0;0,333333333333333;0,000291413017106174;26
0,1;3;0;0,25;-0,25;0,00052928604972199;27
0,1;3;0;0;0;0,000383296677652439;28
0,1;3;0;0;0;0,000113227771671749;29
0,1;3;0;0;0;0,000282595461671756;30
0,1;3;0;0;0;0,000411732733288368;31
0,1;3;0;0;0;0,000236838076650864;32
0,1;3;0,333333333333333;0;0,333333333333333;0,000462176824348194;33
0,1;3;0;0;0;0,000126762038894562;34
0,1;3;0;0;0;0,000808771660688695;35
0,1;3;0;0,25;-0,25;0,000310020095039467;36
0,1;3;0,333333333333333;0;0,333333333333333;0,0002244663568824;37
0,1;3;0;0;0;0,000670945394646643;38
0,1;3;0;0;0;0,000621563681755734;39
0,1;3;0;0;0;0,000140917723001925;40
0,1;3;0;0;0;0,000139491760676292;41
0,1;3;0;0;0;0,000139683180272386;42
0,1;3;0;0;0;0,00030246626593879;43
0,1;3;0;0;0;0,000324080060249114;44
0,1;3;0;0;0;0,000131202256793621;45
0,1;3;0;0;0;0,000259577636151698;46
0,1;3;0;0;0;0,000288658353308132;47
0,1;3;0;0;0;0,000368015837629586;48
0,1;3;0,25;0;0,25;0,000176290461214434;49
0,1;3;0;0;0;0,000224886362994911;50
0,1;3;0,2;0;0,2;0,000283205023263216;51
0,1;3;0,166666666666667;0;0,166666666666667;0,000353254158571398;52
0,1;3;0,142857142857143;0;0,142857142857143;0,000407806042836279;53
0,1;3;0;0;0;0,00017384705672085;54
0,1;3;0;0;0;0,000371921890671753;55
0,1;3;0;0;0;0,000236287418382914;56
0,1;3;0;0;0;0,00022681943810118;57
0,1;3;0,25;0;0,25;0,000278272906885837;58
0,1;3;0;0;0;0,000273141575870085;59
0,1;3;0;0;0;0,000196485031140729;60
0,1;3;0,1;0;0,1;0,000225781052078506;61
0,1;3;0;0;0;0,000267124386071933;62
0,1;3;0;0;0;0,000282530408973816;63
0,1;3;0;0;0;0,000275747050497427;64
0,1;3;0;0;0;0,000197219197159769;65
0,1;3;0,0909090909090909;0;0,0909090909090909;0,000225706230441067;66
0,1;3;0,0833333333333333;0;0,0833333333333333;0,000268282397450027;67
0,1;3;0,0769230769230769;0;0,0769230769230769;0,000263821317862974;68
0,1;3;0;0;0;0,0002695104848685;69
0,1;3;0;0;0;0,000267471961405526;70
0,1;3;0,0714285714285714;0;0,0714285714285714;0,000302315189248124;71
0,1;3;0,0666666666666667;0;0,0666666666666667;0,000269126478142049;72
0,1;3;0,0625;0;0,0625;0,000301426408006728;73
0,1;3;0;0;0;0,00024249872596;74
0,1;3;0,117647058823529;0;0,117647058823529;0,000290350918277012;75
0,1;3;0,105263157894737;0;0,105263157894737;0,00027795834162484;76
0,1;3;0,0952380952380952;0;0,0952380952380952;0,000318600294385939;77
0,1;3;0,130434782608696;0;0,130434782608696;0,000337391293233114;78
0,1;3;0,115384615384615;0;0,115384615384615;0,000406738705007722;79
0,1;3;0,0689655172413793;0,0344827586206897;0,0344827586206897;0,000325970479603131;80
0,1;3;0,0666666666666667;0;0,0666666666666667;0,000335505987841672;81
0,1;3;0;0;0;0,00022078316431829;82
0,1;3;0;0;0;0,000279021460784617;83
0,1;3;0;0;0;0,000302176777492033;84
0,1;3;0,03125;0;0,03125;0,000326809105552532;85
0,1;3;0,0303030303030303;0;0,0303030303030303;0,000239547721144598;86
0,1;3;0,0882352941176471;0;0,0882352941176471;0,000377696119520301;87
0,1;3;0,0810810810810811;0;0,0810810810810811;0,000481248377901098;88
0,1;3;0,05;0;0,05;0,000317360766610683;89
0,1;3;0,0714285714285714;0;0,0714285714285714;0,000419988364707356;90
0,1;3;0,133333333333333;0,0222222222222222;0,111111111111111;0,000371782562598124;91
0,1;3;0,06;0;0,06;0,000477162963972705;92
0,1;3;0,132075471698113;0;0,132075471698113;0,000394045319662796;93
0,1;3;0,0666666666666667;0;0,0666666666666667;0,000340741366487793;94
0,1;3;0,09375;0;0,09375;0,000337737898911416;95
0,1;3;0,0428571428571429;0,0142857142857143;0,0285714285714286;0,000327475145207386;96
0,1;3;0,0416666666666667;0,0833333333333333;-0,0416666666666667;0,000284584243586248;97
0,1;3;0;0;0;0,000240679938359766;98
0,1;3;0;0;0;0,000236615009307775;99
0,1;3;0,0579710144927536;0;0,0579710144927536;0,000233329632695931;100
0,1;3;0,0684931506849315;0;0,0684931506849315;0,000296796979789593;101
0,1;3;0,0769230769230769;0;0,0769230769230769;0,000322350124481863;102
0,1;3;0,0714285714285714;0;0,0714285714285714;0,000353769064353344;103
0,1;3;0,111111111111111;0;0,111111111111111;0,000301944639310559;104
0,1;3;0,12;0;0,12;0,000319684454145669;105
