"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0;0;0;0;0;0;0
1;1;0,43;0,07;0,36;0,02;271
0;0;0;0;0;0;0
1;1;0,47;0,06;0,41;0,02;269
0;0;0;0;0;0;0
1;1;0,5;0,06;0,44;0,02;267
0;0;0;0;0;0;0
1;1;0,58;0,06;0,52;0,02;265
0;0;0;0;0;0;0
1;1;0,61;0,05;0,56;0,02;263
0;0;0;0;0;0;0
1;1;0,58;0,05;0,53;0,02;261
0;0;0;0;0;0;0
1;1;0,6;0,05;0,55;0,02;259
0;0;0;0;0;0;0
1;1;0,59;0,05;0,54;0,01;257
0;0;0;0;0;0;0
1;1;0,59;0,04;0,55;0,01;255
0;0;0;0;0;0;0
1;1;0,62;0,1;0,52;0,01;253
0;0;0;0;0;0;0
1;1;0,64;0,12;0,52;0,01;251
0;0;0;0;0;0;0
1;1;0,62;0,12;0,5;0,01;249
0;0;0;0;0;0;0
1;1;0,93;0,13;0,8;0,01;247
0;0;0;0;0;0;0
1;1;0,93;0,12;0,81;0,01;245
0;0;0;0;0;0;0
1;1;0,93;0,12;0,81;0,01;243
0;0;0;0;0;0;0
1;1;0,92;0,12;0,8;0,01;241
0;0;0;0;0;0;0
1;1;0,92;0,11;0,81;0,01;239
0;0;0;0;0;0;0
1;1;0,91;0,11;0,8;0,01;237
0;0;0;0;0;0;0
1;1;0,95;0,14;0,81;0,01;235
0;0;0;0;0;0;0
1;1;0,99;0,13;0,86;0,01;233
0;0;0;0;0;0;0
1;1;1,07;0,14;0,93;0,01;231
0;0;0;0;0;0;0
1;1;1,06;0,14;0,92;0,01;229
0;0;0;0;0;0;0
1;1;1,16;0,14;1,02;0,01;227
0;0;0;0;0;0;0
1;1;1,14;0,13;1,01;0,01;225
0;0;0;0;0;0;0
1;1;1,13;0,14;0,99;0,01;223
0;0;0;0;0;0;0
1;1;1,1;0,14;0,96;0,01;221
0;0;0;0;0;0;0
1;1;1,07;0,13;0,94;0,01;219
0;0;0;0;0;0;0
1;1;1,24;0,13;1,11;0,01;217
0;0;0;0;0;0;0
1;1;1,35;0,13;1,22;0,01;215
0;0;0;0;0;0;0
1;1;1,35;0,15;1,2;0,01;213
0;0;0;0;0;0;0
1;1;1,36;0,17;1,19;0,01;211
0;0;0;0;0;0;0
1;1;1,35;0,16;1,19;0,01;209
